We Germans fear God, but nothing else in the world.;mi mute li jan Tosi li pilin monsuta tan jan sewi taso.
You cannot have your cake and eat it, too.;tenpo sama la sina ken ala jo e pan suwi li ken ala moku kin e ona.
Have you finished packing yet?;sina pini ala pini poki?
Mr. Kato teaches us English.;jan Kato li pana e sona pi toki Inli tawa mi mute.
What time are you leaving?;tenpo seme la sina tawa weka?
What should I eat?;mi ken moku e seme?
What do you want to do?;sina wile pali e seme?
Don't put it on my desk.;o pana ala e ni tawa supa mi.
I do not support the theory that one has to study Latin in order to understand English better.;jan li toki: sina wile kepeken pona e toki Inli la o kama sona e toki Lasina. ni li nasa tawa mi.
Let's speak in English.;mi mute o toki lon toki Inli.
Has it stopped raining yet?;telo sewi li pini ala pini?
After the rain, there were puddles on the street.;tenpo telo li pini la telo li lon nasin.
Avoid crossing this street when it is raining.;telo li tawa tan sewi la o tawa ala lon nasin ni.
I can't lift my right arm.;mi ken ala sewi e luka mi.
No, no, no!;ala, ala, ala!
I got my hands quite dirty.;luka mi li kama jaki.
I have no time to watch TV.;mi kepeken ala e poki pi sitelen tawa tan ni: mi jo e tenpo pi lili ike.
Russian is very difficult to learn.;toki Losi li kiwen pi kama sona.
Lucy is from America.;jan Lusi li kama tan ma Mewika.
I'm listening to the radio.;mi kute e poki toki.
I didn't hear you.;mi kute ala e sina.
If it were not for the sun, every living thing would die.;suno li weka la jan ali li kama moli.
I would like to talk with you again.;mi wile toki sin tawa sina.
Does everybody love music?;kalama musi li pona tawa jan ali ala ali?
Mike and Ken are friends.;jan Miki en jan Keni li jan pona.
Mr White has gone to India.;jan Wasi li tawa ma Palata.
Look, she said.;"ona li toki: ""o lukin""."
Where are the other girls?;meli mute sin li lon seme?
I want to eat French cuisine.;mi wile moku e moku Kanse.
Mr Brown is in the sunset of his life.;tenpo kama lili la jan Wan li moli.
There is a car in front of the building.;tomo tawa li lon sinpin tomo.
I've been badly bitten by mosquitoes.;pipi mute li moku e mi.
I'd like to buy a Picasso.;mi wile jo e sitelen tan jan Pikaso.
Why do you work here?;sina pali lon ni tan seme?
Cut it with a knife.;o kipisi e ona kepeken ilo kipisi.
There is a time for everything.;ale li jo e tenpo.
I'll pay with travelers' checks.;mi pana e mani kepeken sitelen mani pi jan tawa.
Tom can run fast.;jan Ton li ken tawa wawa.
Tom broke the window.;jan Ton li pakala e lupa suno.
Hello, said Tom, smiling.;"jan Ton li toki e ""toki!"" li pana e kon pi pilin pona lili."
Tom was a witness to the accident.;jan Ton li lukin e pakala.
Tom always finds fault with her.;tenpo ale la jan Ton li kama lukin e pakala pi ona meli.
No book is worth reading.;ni li pona ala lukin e lipu toki.
How are you getting along with your study?;kama sona sina li kama seme?
Tony stood at the door.;jan Toni li lon lupa.
Who do you want to speak to?;sina wile toki tawa seme?
It's too hot for us to work.;mi mute li wile ala pali tan ni: kon li seli mute.
I feel very cold.;mi pilin lete.
Where can I obtain a map of Europe?;jan li ken alasa e sitelen pi ma Elopa lon seme?
Can you come?;sina ken ala ken kama?
Will you tell me why you like her?;meli ni li pona tawa sina tan seme?
Why don't you come in?;o kama lon tomo mi!
I'd like to pay in cash.;mi wile kepeken e mani lipu.
There is a bottle of wine on the table.;telo kili li lon supa moku.
At last, he got the car.;tenpo ni la mije li kama jo e tomo tawa.
Just as I went to go out, it began to rain.;mi tawa ma, la tenpo sama la telo li kama anpa.
How would you like to go to a dance?;ni li pona ala pona tawa sina? sina tawa musi.
Who were you talking with?;sina toki tawa jan seme?
Someone is battering at the door.;jan li utala e lupa!
Many children were playing in the park.;jan lili mute li musi lon ma kasi pi ma tomo.
I can't keep up with you if you walk so fast.;mi ken ala tawa poka sina tan ni: sina tawa wawa mute.
It may give rise to serious trouble.;ni li ken kama e ike suli.
It is a book.;ni li lipu sona.
That's a matter of prime importance.;ni li suli mute. ijo ante ali li suli lili.
It's a TV.;ni li ilo pi sitelen tawa.
It grew larger and larger.;ona li suli li suli.
That's a job of your own choosing, isn't it?;sina kin li wile pali e ni anu seme?
That won't work.;ni li pali ala.
What is it?;ni li seme?
Look up the word in the dictionary.;o alasa e nimi ni lon lipu nimi.
Look up the word in your dictionary.;o alasa e nimi ni lon lipu nimi.
The man was surprised at the news.;jan li pilin musi tan sin.
The information is very important to us.;mi mute la sona ni li suli mute.
Can you take on the job?;sina ken ala ken jo e pali ni?
How long will it take to finish the work?;tenpo seme la pali li pini?
The government of the country is now stable.;tenpo ni la jan lawa ma li wawa.
There are several peoples in the country.;ni li kulupu pi jan mute lili lon ma.
I didn't study either of the languages.;mi kama sona ala e toki ni.
Air those shoes!;o pana e kon tawa len noka ni!
The bank has branches in all parts of the country.;tomo mani li lon mute lon ma.
The volcano erupted suddenly, killing many people.;nena li pana e seli li moli e jan mute.
The singer has a beautiful voice.;jan pi toki musi li jo e kalama pona.
The death of the king brought about a war.;jan lawa li moli. ni li kama e utala.
The computer is new.;ilo sona ni li sin.
Don't mention the matter to him.;o toki ala e ni tawa ona.
I'll tell you everything about it.;mi toki e ale tawa sina.
I don't know how to get there.;mi sona ala e nasin tawa ona.
I am not alone in thinking so.;mi pilin e ni. jan ante li pilin sama.
We must do away with such bad customs.;mi mute li wile weka e nasin ike.
Do you have any interest in sports?;pali musi li pona ala pona tawa sina?
All men are equal before God.;jan ali li sama tawa jan sewi.
Everything is OK.;ale li pona.
Steve was loved by all.;jan ali li olin e jan Siwe.
You never wanted to talk about it.;tenpo ala la sina wile toki e ni.
Wow!;pona!
He will be able to do the work soon.;tenpo kama lili la ona li ken pali.
I must go right away.;mi wile tawa lon tenpo ni.
Susie's hair is very long.;linja pi jan Susi li suli mute.
Don't stare at people.;o lukin wawa ala e jan!
John is good at mathematics.;jan Jon li wawa pi sona nanpa.
It's going to rain soon. Look at those black clouds.;tenpo lili la telo li anpa. o lukin e sewi pimeja.
Now, look at the picture, every one.;tenpo ni la jan ali o lukin e sitelen.
Columbus proved that the world is not flat.;jan Kolumupu li kiwen e sona ni: ma li supa ala.
Can I eat this?;mi ken ala ken moku e ni?
Who broke this?;jan seme li pakala e ni?
Add up these figures.;o wan e nanpa ni.
These apples taste good.;kili ni li pona moku.
This is a map.;ni li sitelen ma.
This is the finest picture I have ever seen.;mi pilin e ni: sitelen ni li pona mute lukin. sitelen ante ali li pona lili lukin.
This is a dog.;ni li soweli.
This is a well-formed vase.;poki ni li pona lukin.
This is a pen.;ni li ilo sitelen.
Everything is fine.;ale li pona.
This is the temple which we used to visit.;tenpo pini la mi mute li kama tawa tomo sewi ni.
Where is this train bound?;tomo tawa ni li tawa seme?
This medicine will ensure you a good night's sleep.;sina moku e ni la sina lape pona.
This book isn't interesting at all.;lipu sitelen ni li musi ala.
This book is written in English.;jan li sitelen e lipu ni kepeken toki Inli.
This hat is mine.;ni li len lawa mi.
This wall feels very cold.;sinpin tomo ni li lete mute pilin.
You should rewrite this sentence. It doesn't make sense.;sitelen sina li nasa lukin. o ante e ona!
Do you want to watch this program?;sitelen tawa ni li pona ala pona tawa sina?
This land belongs to the Royal Family.;jan lawa en kulupu mama ona li jo e ma ni.
This word is derived from German.;jan li pali e nimi ni kepeken nimi pi toki Tosi.
What's the destination of this ship?;tomo tawa pi telo suli ni li tawa seme?
This form looks kind of complicated. Help me fill it out.;mi wile e sona sina tawa ni: mi wile sitelen lon lipu ni. o pana e pona sina tawa mi.
Fill out this form, please.;o sitelen e nimi lon lipu ni. pona!
This study is my father's study.;tomo ni li tomo sona pi mama mi.
This car was made in Japan.;jan Nijon li pali e tomo tawa ni.
Do you know which deity this temple is dedicated to?;jan sewi seme li lon tomo ni?
Perhaps he could solve this problem.;ken la ona li ken pali e ni.
Is there a public toilet in this building?;tomo jaki li lon ala lon tomo ni?
This fish is unfit to eat.;kala ni li moku ike.
This rule can be applied to any case.;nasin ni li pona tawa ali.
I felt like a fish out of water at this firm.;mi pilin ike lon tomo pali ni.
This soup wants a bit of salt.;moku telo ni li wile e namako lili.
I don't like this jacket.;len ni li ike tawa mi.
The time will come when you will regret this.;tenpo kama la sina pilin ike tan ni.
This cake is very delicious.;pan suwi ni li pona tawa mi.
Do you accept this card?;sina ken ala ken kepeken e lipu mani ni?
This engine works well.;ijo wawa li pali pona.
This is my daughter.;ni li jan lili meli mi.
This is the man of whom I spoke the other day.;ni li mije ni: tenpo suno pini la mi toki e mije ni.
The food is good, and service is good here.;moku li pona. jan li pali pona lon ni.
Twenty families live here.;kulupu mama mute li lon ni.
Chris can't work tomorrow.;tenpo suno kama la jan Kise li ken ala pali.
Spiders spin webs.;pipi li pali e len alasa.
Have you ever seen a spider spinning its web?;sina lukin ala lukin e ni: pipi li pali e len alasa?
You should think before you begin to speak.;o pilin. ni li pini la o toki.
Karaoke is good for reducing stress.;toki musi li pona tawa sijelo pona.
They speak English and French in Canada.;jan Kanata li kepeken e toki Kanse e toki Inli.
I will pick up a little something for you.;mi kama jo e ijo lili tawa sina.
Would you like another cup of tea?;sina wile ala wile moku e telo sin?
What language do you speak in your country?;jan li toki kepeken toki seme lon ma sina?
I have run short of money.;mi jo e mani lili.
Have you finished it already?;tenpo ni la sina pali ala pali pini e ona?
You're fired.;tenpo kama la o pali ala lon ni!
My aunt brought me some flowers.;meli sama pi mama mije mi li pana e kasi kule tawa mi.
Are there any types of cuisine or restaurants that you could recommend?;o toki e ni tawa mi: tomo moku seme li pona tawa sina?
What kind of tree is an oak?;kasi Oka li kasi seme?
Don't you go away.;o tawa ala weka.
Ellen does not speak English.;jan Ellen li ken ala toki kepeken toki Inli.
A rabbit has long ears.;soweli pi noka wawa li jo e kute suli.
India was governed by Great Britain for many years.;tenpo suli la ma Inli li lawa e ma Palata.
India is populous.;jan mute li lon ma Palata.
I hope your assignment in England was successful.;mi wile e ni: pali sina li pini pona lon ma Inli.
No one has ever seen God.;jan ala li lukin e jan sewi.
What time did you come home?;tenpo seme la sina tawa tomo?
I can't apply my mind to anything with all that noise!;pakala! mi ken ala pilin tan kalama!
Are those your pictures?;sitelen ni li sina ala sina?
Americans eat a lot of meat.;jan Mewika li moku e soweli mute.
The United States is a large country.;ma Mewika li suli.
Don't go into that area.;o tawa ala ni!
Who's that girl?;meli ni li jan seme?
Look at that picture.;o lukin e sitelen!
What's that flower?;seme li kasi kule ni?
That folk singer is very popular with people in general.;jan mute li olin e jan ni pi kalama pona sin ala.
Can you walk with your eyes closed?;sina ken ala ken tawa kepeken noka kepeken oko sina pi open ala?
Do you speak Japanese?;sina toki ala toki lon toki Nijon?
Do you have two books?;sina jo ala jo e lipu sona tu?
You are foresighted and will succeed.;sina lukin e tenpo kama. sina ken pali e ijo ali.
You can use my desk if you want to.;sina wile la sina ken kepeken e supa mi.
You are stupid.;sina nasa.
When did you have your wall painted?;tenpo seme la sina kule e sinpin tomo?
What do you study a foreign language for?;sina kama sona e toki ante tan seme?
Did you call your friend in Canada?;sina toki ala toki tawa jan pona lon ma Kanata?
Do you have any apples?;sina jo ala jo e kili?
Are you American or French?;sina jan Mewika anu jan Kanse?
You've sure got a short fuse today.;tenpo suno ni la sina kama nasa tan ijo lili.
Your sister is the most diligent of all my friends.;meli sama sina li pali pona mute. jan pona mi ante li pali pona lili.
What is your name?;nimi sina li seme?
Your mother will get well soon.;tenpo kama lili la meli mama sina li pilin pona.
I'll do your shopping, clean up the house, and cook your dinner for you.;mi pana e mani tawa moku sina. mi pona e tomo sina. mi seli e moku sina.
I am very glad to see you.;mi lukin e sina. ni li pona tawa mi.
Do you mind if I turn off the light?;mi ken pini e suno anu seme?
Two ice creams, please.;mi wile e suwi lete tu.
Oh, thank you, kind sir.;mije pona o, pona.
Oh, the lights went out.;suno li weka a.
Ten years have gone by.;tenpo sike luka luka li kama pini.
"How are you? ""I am fine, thank you.""";"sina pilin seme? ""mi pilin pona."""
Welcome.;kama pona!
I'm going to bed.;mi tawa supa lape!
The policeman barked orders.;jan pali pi nasin lawa li toki lawa sama soweli tomo.
A dog is barking.;soweli li mu.
No sooner had the dog seen me than it ran up to me.;soweli li lukin e mi la soweli li tawa mi.
Great minds think alike.;jan sona ali li pilin sama.
Speech is silver, silence is gold.;toki li kiwen walo. toki ala li kiwen jelo.
I like languages.;toki li pona tawa mi.
We communicate with one another by means of language.;mi mute li toki tawa jan ante kepeken toki.
Did you know that carp eat tadpoles?;sina sona ala sona e ni: kala li moku e akesi lili?
We've had a long spell of fine weather.;tenpo suno mute la suno li lon.
Luckily she did not die.;a! ona li moli ala.
Let's go!;mi mute o tawa!
I don't feel like eating now.;tenpo ni la mi wile ala moku.
If I were rich, I would go abroad.;mi jo e mani mute la mi tawa ma ante.
What are you doing now?;tenpo ni la sina pali e seme?
Hello, I am Nancy.;toki! mi jan Nensi.
I bought a book yesterday.;tenpo suno pini la mi esun e lipu.
I'm looking for a job.;mi wile pali.
I used to go fishing with my father when I was a child.;mi jan lili la mi en mama mi li alasa e kala.
I want to see the manager.;mi wile lukin e jan lawa.
It is impossible for me to solve the problem.;mi ken ala pona e ni.
I will explain it to her.;mi pana e sona tawa meli.
Our father used to read us happy stories when we were small.;mi mute li lili, la mama mije pi mi mute li toki e sitelen lipu pi pilin pona tawa mi mute.
None of us are against her idea.;pilin meli li pona tawa mi mute.
We set a trap to catch a fox.;mi mute li pali e ilo tawa ni: mi mute li alasa e soweli.
We came here to build a new town.;mi mute li kama tawa pali e ma tomo sin.
We believe in God.;mi mute li pilin e ni: jan sewi li lon.
We invited him to our house.;"mi toki e ni tawa ona: ""o kama tawa tomo mi."""
We go to school to study.;mi mute li tawa tomo sona tawa ni: mi mute li kama sona.
It seemed to me that there was no way out of our difficulty.;lukin mi la mi mute li ken ala tawa tan ike pi mi mute.
I have no time.;mi jo ala e tenpo.
My house is big.;tomo mi li suli.
Can you hear me?;sina kute ala kute e mi?
She sent me a present in return for my advice.;ona li pana e musi tawa mi tan toki sona mi.
My room has three windows.;lupa tu wan li lon tomo mi.
My sister is pretty.;jan sama meli mi li pona lukin.
I seem unable to get out of this trouble in short time.;lukin la mi ken ala tawa tan ike ni kepeken tenpo lili.
I cannot help laughing at you.;mi ken ala kalama musi ala tan sina.
I'm looking for you.;mi alasa e sina.
I can't agree with you on this matter.;mi pilin ante tan sina lon ni.
I need this.;mi wile e ni.
I like to play soccer.;musi pi sike noka li pona tawa mi.
I want to join Joe's group.;mi wile e ni: mi lon kulupu pi jan So.
I am called John.;nimi mi li San.
I must go there.;mi wile tawa ni.
I named the kitten Tama.;mi pana e nimi Tama tawa soweli lili ni.
I got very tired, but I felt good.;tenpo pini la mi kama pilin lape. taso mi pilin pona.
I was roused by the sound of a bell.;kalama tan ilo kalama li pini e lape mi.
I'm still busy.;tenpo pini la mi pali mute. tenpo ni la mi pali mute.
I'd like to go to London.;mi wile tawa ma tomo Lanten.
I married him against my will.;mi wile ala wan e mije.
I had to go there alone.;mi wan taso li wile tawa.
I have one brother.;mi jo e jan sama wan.
I like English, but I cannot speak well.;toki Inli li pona tawa mi. taso mi toki ike kepeken ona.
I study French in addition to English.;mi kama sona e toki Inli. mi kama sona e toki Kanse kin.
I'm not rich, nor do I wish to be.;mi jo e mani lili li wile ala e mani mute.
I am glad to be with you.;mi pilin pona tan ni: mi poka sina.
I need your help.;mi wile e ni: sina pana e pona tawa mi.
I'm much younger than you.;mi lili tenpo. sina suli tenpo.
I'm taller than you.;mi suli. sina lili.
I want to build up my vocabulary.;mi wile kama sona e nimi mute sin.
I feel happy.;mi pilin pona.
I can't go, nor do I want to.;mi ken ala tawa li wile ala tawa.
I went to church this morning.;tenpo suno ni li kama la mi lon tomo pi jan sewi.
I lived in Japan three years ago.;tenpo sike tu wan la mi lon ma Nijon.
I have known him ever since he was a child.;ona li lili, la mi sona e ona.
I have already packed my things.;mi pana e ijo mi lon poki.
I'd like to see the Statue of Liberty.;mi wile lukin e meli kiwen pi ma Mewika.
I don't drink alcohol.;mi moku ala e telo nasa.
I threw down the newspaper.;mi anpa e lipu toki.
I need to study math.;mi wile kama sona e sona nanpa.
I listened to the music of birds.;mi kute e kalama waso.
I lost sight of him on the way.;mi mute li tawa lon nasin la mi awen ala lukin e ona.
I saw him scolded by his father.;mi lukin e ni: mama mije ona li toki wawa tawa ona.
I am convinced that he did nothing wrong.;mi pilin e ni: ona li pali ala e ike.
I went to church with him.;mi en ona li tawa tomo pi jan sewi.
I don't know when she got married.;mi sona ala e ni: tenpo seme la meli li wan.
I caught a beautiful butterfly.;mi alasa e pipi. ona li pona lukin.
I get knowledge by reading books.;mi kama sona tan lipu sona.
I am a famous actor.;mi jan musi li suli.
The music we listened to last night was wonderful.;tenpo pimeja pini la mi kute e kalama musi. ni li pona tawa mi.
It's great fun for us to be with her.;ni li pona tawa mi mute: mi mute li lon poka meli.
Our country produces a lot of sugar.;ma mi li pali mute e suwi walo.
We heard the boy playing the violin.;mi mute li kute e ni: mije lili li kalama kepeken ilo linja.
We are in good condition.;mi mute li wawa li pilin pona.
We seek happiness.;mi wile pilin pona.
Time crept on.;tenpo li tawa.
Time heals all wounds.;tenpo li pona e sijelo ike ale.
I wish I had a car.;mi jo e tomo tawa la ni li pona tawa mi.
The car broke down, so that we had to walk.;mi wile tawa noka tan ni: tomo tawa li pakala.
Because his parents had died when he was young, his uncle brought him up.;mije sama pi mama mije ona li pana e moku e len lon ona tan ni: ona li jan lili la mama ona li kama moli.
Don't drive under the influence of alcohol.;sina moku e telo nasa la o lawa ala e tomo tawa.
She has no opinion about religion.;ona li pilin ala e nasin sewi.
Luck and hard work are necessary if you want to advance in life.;sina wile tawa ijo pona la nasa pona en pali wawa li wile lon.
You never can tell what will happen in the future.;jan ala li ken sona e tenpo kama.
Knowledge without common sense counts for nothing.;sona pi jan nasa li ala.
We have to gather information.;mi wile alasa e sona.
I want to buy a new bicycle.;mi wile esun e tomo tawa sin.
Water, forests, and minerals are important natural resources.;telo en kasi en kiwen li suli tawa jan ali.
Students must not use this toilet.;jan pi kama sona o kepeken ala e tomo jaki ni.
Be quiet, or the baby will wake up.;o kalama ala o pini ala e lape pi jan lili.
Can I speak to the person in charge?;mi wile toki tawa jan lawa.
A baby is sleeping in the cradle.;jan lili li lape lon supa lape lili.
I have no idea.;mi sona ala e ni.
It is bad to hurt others.;ni li ike: jan li pakala e jan ante.
Taro stayed in Tokyo for three days.;tenpo suno tu wan la jan Talo li lon ma tomo Tokijo.
I'll wait for you.;mi awen tawa sina.
You must not come into the kitchen.;o tawa ala tomo pali moku.
Little did I think there would be a typhoon.;mi pilin ala e ni: telo mute li anpa. kon li tawa wawa.
The typhoon has done much harm.;tawa kon li pakala e ijo mute.
The President desires peace.;jan lawa li wile ala utala.
Someone has brought us some grapes.;jan li pana e kili lili pi laso loje tawa mi mute.
Who did it?;jan seme li pali e ona?
Who helps her?;seme li wile pana e pona tawa ona?
No man can live to be two hundred years old.;tenpo mute mute mute la jan li ken ala sike e suno.
Everybody desires happiness.;jan ali li wile pilin pona.
Strength in unity.;jan mute li wan la ona li kama wawa.
The Chinese are a hard-working people.;jan Sonko li pali mute.
The days are growing longer.;tenpo suno li kama suli.
I'd like to have breakfast with you.;mi wile moku poka sina.
The town slept.;ma tomo li lape.
The bird was looking for worms.;waso li alasa e pipi.
We are sorry about the bad weather.;mi mute li pilin ike tan ni: kon en sewi li ike.
The telephone is essential to modern life.;tenpo ni la ilo toki li suli tawa jan ali.
"Don't hang up; I haven't finished talking to you.";o kipisi ala. mi pini ala li wile toki tawa sina.
Winter has gone.;tenpo lete li pini.
No one lived on the island at that time.;tenpo pini ni la jan ala li awen lon ma pi insa telo.
Do you have a headache?;lawa sina li pilin ike ala ike?
The pond dried up in hot weather.;telo li weka tan seli suno.
Japan and Britain are island countries.;ma Nijon en ma Juke li ma pi insa telo.
Japan and South Korea are neighbors.;ma Nijon li lon poka pi ma Anku.
Japan is at peace with her neighbors.;ma Nijon li utala ala e ma poka ona.
Japan has a high population density.;ma Nipon li jo e jan mute lon ma lili.
The cat was basking in the sun.;soweli tomo li lape lon suno.
I'm disappointed that he's not here.;mi pilin ike tan ni: ona li lon ala.
It is strange that he has not come yet.;ni li nasa: mije li kama ala.
Wait here till he comes back.;o awen lon weka ona lon ni.
He has two daughters.;ona li jo e meli lili tu.
He is unable to do it.;ona li ken ala pali e ni.
He openly confessed his faults.;ona li toki open e ike ona.
His pictures were hung on the wall.;sitelen ona li lon selo pi insa tomo.
His bag was filled with water.;telo li lon poki ona.
He has long legs.;noka ona li suli.
His behavior is above suspicion.;pali ona li jo ala e ike.
His long speech bored us all.;toki suli ona li musi ala e mi ali.
His daughter and my son are good friends.;meli lili ona e mije lili mi li jan pona.
I cannot follow his logic.;mi ken ala sona e nasin ona.
He has a bicycle.;ona li jo e ilo tawa.
He keeps two cats.;ona li jo e soweli tu.
He is older than any other student in his class.;jan ante pi kulupu sona ona li jo e tenpo lili. ona li jo e tenpo suli.
He got lost in the city.;ona li kama ala lukin e nasin ona lon ma tomo.
He had to leave the village.;mije li wile tawa tan ma tomo.
He sold his own car without hesitation.;tenpo lili la mije li kama jo e mani tawa tomo tawa ona.
He is strong as a horse.;ona li wawa sama soweli tawa.
Has he come yet?;tenpo ni la ona li kama ala kama?
When he came to, he was lying alone on the hill.;mije li lape pini la ona taso li kama supa lon nena.
He can swim.;ona li ken tawa lon telo.
He can speak both English and French very well.;ona li ken toki pona kepeken toki Inli en toki Kanse.
He doesn't know how to write a letter in English.;ona li ken ala sitelen e lipu toki kepeken toki Inli.
He decided to go abroad.;ona li wile tawa ma weka.
He was blue from the cold.;sijelo ona li laso tan lete.
He felt the rain on his face.;ona li pilin e telo kama tan sewi lon sinpin lawa ona.
He explained the rules in detail.;mije li pana sona wawa e nasin.
He burst into tears.;ona li pana wawa e telo oko.
He doesn't like fish.;kala li ike tawa mije.
He was paralyzed with terror.;ona li ken ala tawa tan pilin monsuta.
He has become another man since getting married.;ona li kama jo e meli la ona li kama ante.
He is unmarried.;ona li jo ala e meli.
He will not go.;mije li tawa ala.
He was snoring loudly while he slept.;ona li lape li kalama mute.
He has poor eyesight.;mije li ken ala lukin pona.
He is quick to learn.;tenpo lili la ona li kama sona.
He is washing the car.;ona li telo e tomo tawa.
He raised his arm.;ona li sewi e luka.
He handled the knife and fork very well.;ona li kepeken pona e ilo moku.
Life passed him by.;ali li tawa poka ala mije.
He is a Russian by birth.;ona li jan Losi.
He is a biologist.;ona li kama sona e soweli e kasi.
He has absolute power.;ona li ken pali e ali.
He could be in the gymnasium.;ken la ona li lon tomo musi.
He's well built.;sijelo ona li pona lukin.
He banged the door in anger.;ona li pini e lupa. ona li jo e pilin ike wawa.
He was wounded in the head.;lawa ona li pakala.
He is bound to her.;mije li wan tawa meli.
Is he busy?;ona li pali ala pali?
He's in bed with the flu.;ona li pilin ike li lon supa lape.
He wasn't given any reward for his service.;ona li pali. taso ona li alasa e mani ala.
I like all of them.;ona ali li pona tawa mi.
They haven't finished the work, have they?;ona li pini ala e pali anu seme?
They extended their territory by conquest.;ona li utala tan ni: ona li kama jo e ma sin.
Who are they?;ona li seme?
They must have been tired.;ona mute li wile lape.
They introduced a bill in Congress.;ona li pana e lawa sin tawa kulupu lawa.
I owe ten dollars to her.;mi wile pana e mani Tola luka luka tawa ona.
Where did you see her?;sina lukin e ona lon seme?
I can't take my eyes off her.;mi lukin e meli. mi ken ala pini.
Her dress is not to my taste.;len ona li pona ala tawa mi.
I can't understand what she says.;toki ona li nasa tawa mi.
Do you think her story is false?;sina pilin e ni: toki meli li lon ala lon?
She is anxious to meet you.;ona li wile wawa lukin e sina.
She is loaded with sex appeal.;meli ni li unpa lukin.
She has a pretty face.;sinpin ona li pona lukin.
Isn't she a computer programmer?;ona li pana e pali tawa ilo sona anu seme?
She refused to accept the money.;ona li wile ala e mani.
She refused to accept the money.;ona li wile ala e mani ni.
She's very beautiful.;ona li pona lukin mute.
She is very smart, and what is more, she studies hard.;meli li jo e sona mute. meli li wile sona mute.
She cooks very well.;sina seli pona mute.
How beautiful she is!;a! ona li pona lukin.
She bought a chicken.;ona li esun e waso.
What does she keep as a pet?;ona li jo e soweli seme?
She is a mere child, you know.;sina sona e ni: meli li jan lili.
She talks a lot.;ona li toki mute.
She speaks not only English but also French.;ona li ken kepeken e toki Inli e toki Kanse kin.
She didn't have any pencils.;ona li jo ala e ilo sitelen.
She is watering the flowers.;ona li pana e telo tawa kasi kule.
She is happy.;ona li pilin pona.
She doesn't know how to drive a car.;ona li ken ala lawa e tomo tawa.
She tore up the letter.;ona li pakala e lipu toki.
She can speak Japanese.;ona li ken kepeken e toki Nijon.
She had white shoes on.;ona li jo e len noka walo.
She put away her clothes.;ona li weka e len ona.
To her sorrow, her only son left her alone.;"jan lili ona li tawa; ona li wan li pilin ike tawa ni."
Smiles do not always indicate pleasure.;jan li musi uta. taso ken la ona li pilin ike.
That's beautiful, said John.;"jan Jokan li toki: ""ni li pona lukin""."
An icy chill stole into the car.;insa pi tomo tawa li pilin lete.
My father is a businessman.;mije mama mi li jan mani.
Not a sound was heard in the room.;mi kute ala e kalama lon tomo.
Clean up the room.;o pona e tomo!
The rent is paid for six months.;tenpo mun kama pi luka wan la mi pana e mani tomo.
Speech is silver, silence is golden.;toki li kiwen walo. toki ala li kiwen jelo.
It's not my fault.;pakala ni li tan ala mi.
I cannot understand what you say.;mi sona ala e toki sina.
Do you love me?;sina olin ala olin e mi?
I want to sleep.;mi wile lape.
I think him a fool.;mi pilin e ni: ona li nasa.
